"awayScore","awayTeamId","homeScore","homeTeamId","isGameOfTheWeek","scheduleId","seasonIndex","stageIndex","status","weekIndex"
27,759955482,13,759955483,false,543031309,0,0,2,0
35,759955479,13,759955475,false,543031310,0,0,2,0
21,759955473,18,759955471,false,543031311,0,0,2,0
10,759955490,17,759955489,false,543031312,0,0,3,0
14,759955472,20,759955486,false,543031313,0,0,3,0
17,759955469,13,759955478,false,543031314,0,0,2,0
31,759955457,24,759955459,false,543031315,0,0,2,0
17,759955484,13,759955492,false,543031316,0,0,2,0
17,759955488,16,759955466,false,543031317,0,0,2,0
21,759955481,24,759955461,false,543031318,0,0,3,0
19,759955462,17,759955458,false,543031319,0,0,2,0
59,759955456,21,759955491,false,543031320,0,0,2,0
34,759955467,30,759955477,false,543031321,0,0,2,0
28,759955487,20,759955463,false,543031322,0,0,2,0
9,759955460,7,759955468,false,543031323,0,0,2,0
22,759955470,27,759955485,false,543031324,0,0,3,0